order_id,order_date,category,product_name,quantity,unit_price,total_sales,region
1,2023-12-04,Home & Garden,Chair,7,208.84,1461.88,North
2,2023-02-10,Home & Garden,Lamp,6,98.34,590.04,South
3,2023-04-27,Books,Comic,8,384.32,3074.56,West
4,2023-01-24,Books,Novel,5,426.33,2131.65,South
5,2023-12-28,Clothing,Jacket,1,486.92,486.92,East
6,2023-10-24,Home & Garden,Lamp,2,420.69,841.38,East
7,2023-04-14,Books,Comic,10,158.19,1581.9,South
8,2023-09-30,Electronics,Laptop,5,369.02,1845.1,East
9,2023-01-12,Clothing,Jacket,4,85.05,340.2,South
10,2023-12-19,Clothing,Jacket,3,215.89,647.67,South
11,2023-06-04,Clothing,Jeans,10,180.02,1800.2,North
12,2023-09-19,Home & Garden,Chair,7,299.7,2097.9,North
13,2023-08-03,Books,Textbook,9,247.24,2225.16,North
14,2023-02-22,Sports,Dumbbells,5,264.69,1323.45,East
15,2023-12-21,Electronics,Monitor,1,55.21,55.21,North
16,2023-12-06,Clothing,Sneakers,5,308.08,1540.4,West
17,2023-10-01,Sports,Bike,3,47.7,143.1,South
18,2023-08-09,Books,Novel,8,236.99,1895.92,West
19,2023-08-09,Clothing,Sneakers,4,14.62,58.48,West
20,2023-10-01,Sports,Dumbbells,10,370.1,3701.0,South
21,2023-03-27,Home & Garden,Lamp,3,497.85,1493.55,North
22,2023-08-19,Sports,Yoga Mat,6,215.07,1290.42,East
23,2023-06-22,Home & Garden,Chair,1,67.61,67.61,West
24,2023-10-06,Books,Textbook,7,478.24,3347.68,West
25,2023-10-31,Books,Textbook,4,288.45,1153.8,West
26,2023-04-05,Books,Textbook,2,173.14,346.28,East
27,2023-03-22,Home & Garden,Blender,1,471.69,471.69,North
28,2023-04-29,Clothing,Jeans,9,285.11,2565.99,North
29,2023-05-02,Electronics,Laptop,1,440.26,440.26,North
30,2023-03-25,Home & Garden,Chair,4,368.82,1475.28,West
31,2023-05-14,Home & Garden,Blender,8,301.73,2413.84,West
32,2023-08-27,Clothing,Jacket,3,19.27,57.81,West
33,2023-01-24,Sports,Tennis Racket,9,343.43,3090.87,South
34,2023-02-11,Clothing,Sneakers,2,456.72,913.44,North
35,2023-02-26,Electronics,Laptop,2,194.25,388.5,East
36,2023-03-25,Electronics,Monitor,8,443.81,3550.48,South
37,2023-02-03,Sports,Tennis Racket,4,125.5,502.0,West
38,2023-09-11,Sports,Dumbbells,3,136.36,409.08,South
39,2023-05-25,Electronics,Laptop,6,355.71,2134.26,South
40,2023-02-23,Clothing,T-Shirt,6,375.93,2255.58,South
41,2023-06-26,Books,Textbook,6,300.93,1805.58,West
42,2023-01-17,Books,Biography,2,496.85,993.7,West
43,2023-06-12,Sports,Yoga Mat,8,173.57,1388.56,East
44,2023-01-27,Sports,Bike,4,171.64,686.56,North
45,2023-07-06,Books,Biography,7,241.91,1693.37,North
46,2023-06-19,Sports,Yoga Mat,5,465.81,2329.05,West
47,2023-07-03,Clothing,Sneakers,1,246.8,246.8,West
48,2023-08-05,Clothing,Jacket,3,472.98,1418.94,South
49,2023-07-05,Books,Comic,8,411.78,3294.24,East
50,2023-03-19,Home & Garden,Blender,4,301.87,1207.48,South
51,2023-07-22,Sports,Bike,2,343.89,687.78,East
52,2023-09-08,Books,Textbook,4,173.86,695.44,South
53,2023-09-07,Clothing,Jacket,2,189.28,378.56,South
54,2023-04-21,Electronics,Headphones,10,313.95,3139.5,West
55,2023-02-26,Sports,Tennis Racket,10,400.81,4008.1,West
56,2023-05-06,Books,Biography,2,326.93,653.86,West
57,2023-12-09,Electronics,Smartphone,10,272.54,2725.4,South
58,2023-11-23,Electronics,Monitor,4,244.61,978.44,North
